Time (s),Latitude,Longitude,Altitude,Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
90.38530326,62.47195625,6.236254604,26.65118966,70.5447888,0.03580938514,NaN,0.02296454567,2.000029227,5.250020487,-1
91.38530052,62.47195621,6.236255289,26.84100384,70.73460303,0.0820731457,NaN,0.02298879011,2,5.332973929,-1
92.38529623,62.47195638,6.236255567,27.18678879,71.08038783,0.04914366799,NaN,0.02300159685,2.000029105,5.132343717,-1
93.38529336,62.4719563,6.236255737,27.22914278,71.1227419,0.03099679342,NaN,0.02301646743,2,5.274072315,-1
94.38529003,62.47195639,6.236255953,27.36378184,71.25738089,0.02115724317,NaN,0.02305475198,2,4.897627917,-1
95.38528764,62.47195607,6.23625625,27.26457033,71.15816966,0.01744260402,NaN,0.02315407542,2,4.824496275,-1
96.38528466,62.47195569,6.236258,27.1732261,71.0668258,0.01463752001,NaN,0.02325075447,2,4.996897958,-1
97.38528097,62.47195539,6.236259763,27.25144745,71.14504746,0.03106450065,NaN,0.02325273388,2,4.937413726,-1
98.38527775,62.47195539,6.236259725,27.29652018,71.19012018,0.01714317122,NaN,0.02329197829,2,4.908496681,-1
99.38527548,62.47195573,6.23625995,27.30176448,71.19536419,0.135962787,NaN,0.02330075172,2,4.956255669,-1
100.3852726,62.47195578,6.23626008,27.19897492,71.09257459,0.06176931573,NaN,0.02339594859,2,4.90105224,-1
101.3852694,62.47195579,6.236261933,27.15196189,71.0455616,0.01622821789,NaN,0.02347116539,2,5.063364932,-1
102.3852659,62.47195552,6.236263277,27.05038643,70.9439864,0.01538173351,NaN,0.02350231553,2,5.210851111,-1
103.3852623,62.47195548,6.236262678,27.19718585,71.09078584,0.009950039187,NaN,0.02356403415,2.000029131,4.963340975,-1
104.3852596,62.47195515,6.236263646,27.32489386,71.21849417,0.01851975446,NaN,0.02361282704,2,4.824678002,-1
105.3852562,62.47195495,6.236264487,27.58806823,71.48166873,0.01879022558,NaN,0.02364252999,2,4.99151041,-1
106.3852537,62.47195475,6.236264101,27.81181211,71.70541278,0.01847791474,NaN,0.02366746869,2.000018865,5.562715421,-1
107.3852507,62.47195454,6.236263939,27.91276605,71.8063669,0.01553771857,NaN,0.02368914059,2.000048269,5.261173758,-1
108.3852468,62.47195439,6.236264223,27.83721975,71.73082074,0.02025216807,NaN,0.02370823846,2,5.165881366,-1
110.3852409,62.47195455,6.236264062,27.95868517,71.85228602,0.008392281764,NaN,0.02372300593,2,5.127514615,-1
111.3852376,62.47195459,6.236264332,27.96114228,71.8547431,0.007955989617,NaN,0.02374866847,2,5.024834648,-1
112.3852347,62.47195476,6.236264671,28.13603508,72.02963575,0.02469331812,NaN,0.02378394446,2,4.612658802,-1
113.3852317,62.47195486,6.236264014,28.2666622,72.16026277,0.03035549243,NaN,0.02381658759,2.000029349,4.853914275,-1
114.3852295,62.47195515,6.236263935,28.53650425,72.43010456,0.02942522919,NaN,0.0238620419,2,4.635129389,-1
115.3852257,62.47195545,6.236264536,28.91630593,72.80990599,0.01078122698,NaN,0.02388907345,2,4.953714164,-1
116.3852226,62.47195551,6.236265042,29.14925853,73.04285855,0.0120517049,NaN,0.02390203377,2,4.848813814,-1
117.3852195,62.47195555,6.236265278,29.32620935,73.21980933,0.0187815867,NaN,0.02394471336,2,4.688538933,-1
118.3852161,62.47195569,6.236266052,29.35202152,73.2456214,0.01653823846,NaN,0.02397607519,2,4.430896798,-1
119.3852137,62.47195583,6.236266585,29.5008436,73.39444337,0.01042688495,NaN,0.02406349878,2,4.661153066,-1
120.3852099,62.47195617,6.236268123,29.68120124,73.57480074,0.0110277474,NaN,0.02414146407,2,4.681306274,-1
121.3852069,62.47195652,6.236269429,29.80565353,73.69925275,0.02022828247,NaN,0.02423080592,2,4.423564521,-1
122.3852035,62.47195704,6.236270764,30.1735675,74.06716629,0.05291742304,NaN,0.02432136231,2,4.74657552,-1
123.3852006,62.47195759,6.236272064,30.39823477,74.29183311,0.0593553013,NaN,0.0243510425,2,5.110304068,-1
124.3851982,62.47195785,6.236271976,30.57645315,74.47005126,0.04049146249,NaN,0.02444126527,2,5.234714124,-1
125.3851949,62.47195851,6.236273009,30.62886759,74.52246513,0.03129089304,NaN,0.02445872254,2,5.058038406,-1
126.3851914,62.47195836,6.23627308,30.76500869,74.65860638,0.02218163812,NaN,0.02451983318,2,5.226258685,-1
127.3851881,62.47195881,6.236273754,30.86893232,74.76252962,0.01467725852,NaN,0.0245819225,2,5.1307418,-1
128.385185,62.47195927,6.236274423,31.16362934,75.05722624,0.01128293724,NaN,0.02465864534,2,5.346901975,-1
129.3851826,62.47195993,6.236274906,31.435775,75.32937133,0.01720443395,NaN,0.02468149999,2,5.32579583,-1
130.3851788,62.47196003,6.23627452,31.61734338,75.51093962,0.002733494539,NaN,0.0247521738,2,5.48356724,-1
131.3851764,62.47196065,6.236274813,31.83572481,75.72932051,0.007325178671,NaN,0.0248289635,2,5.35844489,-1
132.3851734,62.47196132,6.236275173,32.02879345,75.92238856,0.01841279348,NaN,0.02483890757,2,5.938663163,-1
133.3851696,62.47196138,6.236275314,32.24904685,76.14264191,0.008168570334,NaN,0.02483992907,2.000029258,5.693770244,-1
134.3854383,62.47196138,6.236275295,32.53872832,76.43232338,0.02079909426,NaN,0.02485370965,2,5.615400313,-1
135.3854384,62.47196129,6.236275112,32.78736406,76.68095919,0.029509636,NaN,0.02486187251,2,5.181001308,-1
136.3854373,62.47196122,6.236275134,33.05656264,76.95015784,0.0078858706,NaN,0.0248679573,2,5.476643894,-1
137.3854377,62.47196117,6.236275118,33.28028931,77.17388455,0.006295881677,NaN,0.02492410514,2,5.307721103,-1
138.385439,62.47196166,6.236275386,33.45056907,77.34416389,0.01277232524,NaN,0.02496164514,2,5.434029874,-1
139.3854363,62.47196144,6.236274817,33.66266848,77.55626348,0.02056794556,NaN,0.02502086331,2.000029243,4.969080236,-1
141.3854415,62.47196156,6.236273694,33.9498236,77.84341846,0.01891751369,NaN,0.0250408548,2,4.909988404,-1
142.3854409,62.4719616,6.236274074,34.00876789,77.90236274,0.01257067128,NaN,0.02505549256,2.000000295,4.925237693,-1
143.385444,62.47196159,6.236274358,34.00103464,77.8946295,0.01767631809,NaN,0.02507844442,2,4.789051663,-1
144.3854456,62.47196145,6.236274694,33.98386994,77.87746492,0.0145757848,NaN,0.02510518559,2.000029144,5.053731479,-1
145.3854452,62.47196169,6.236274645,34.08653809,77.98013286,0.02729294039,NaN,0.0251480304,2,4.85997452,-1
146.3854468,62.47196205,6.236274313,34.21346398,78.10705843,0.04679663532,NaN,0.02516554327,2,5.129250975,-1
147.3854485,62.47196216,6.236274082,34.60707745,78.5006718,0.1425214671,NaN,0.02519108228,2,5.529185756,-1
148.3854479,62.47196197,6.236274349,34.70973484,78.60332936,0.07032313481,NaN,0.02523787266,2,5.741586145,-1
149.3854469,62.47196236,6.236274017,34.84614178,78.73973594,0.01248229938,NaN,0.02528141457,2,5.707676456,-1
150.3854468,62.47196274,6.236273769,35.07587138,78.96946522,0.02367840181,NaN,0.02528996837,2,5.669721286,-1
151.3854454,62.47196275,6.236273606,35.16761603,79.06120984,0.01045401807,NaN,0.02530125235,2.00002914,5.555559408,-1
152.3854442,62.47196281,6.236273438,35.26810368,79.16169744,0.01000178394,NaN,0.02532135144,2,5.60405248,-1
153.3854426,62.47196275,6.23627307,35.26653465,79.16012845,0.006366381116,NaN,0.02540405644,2.000029194,5.274177623,-1
154.3854411,62.47196321,6.236271798,35.33283498,79.22642835,0.04809152875,NaN,0.02541580013,2,5.054900456,-1
155.3854402,62.47196317,6.236271582,35.34768484,79.24127824,0.007883507213,NaN,0.02550506885,2,5.20196507,-1
156.3854386,62.47196353,6.236270024,35.3268216,79.22041465,0.007862687258,NaN,0.02551910383,2,4.906681083,-1
157.3854367,62.4719635,6.236270291,35.28616671,79.17975979,0.03243298758,NaN,0.02553601057,2.000029179,5.109621453,-1
158.3854352,62.47196343,6.236269997,35.41371658,79.30730972,0.005767564446,NaN,0.02554053691,2.000058324,5.299356035,-1
159.3854328,62.47196347,6.236270014,35.36714332,79.26073642,0.01032392272,NaN,0.02555852137,2,4.839855645,-1
160.3854313,62.4719635,6.236270356,35.52017903,79.41377211,0.03723263561,NaN,0.0255740689,2.000029177,5.048999267,-1
161.3854294,62.47196353,6.236270057,35.56939715,79.4629902,0.01056433829,NaN,0.02557888293,2,5.115212586,-1
162.3854268,62.47196355,6.236269981,35.65470398,79.548297,0.01507509262,NaN,0.02567215084,2,5.412926665,-1
163.3854257,62.47196399,6.236268428,35.61511037,79.50870298,0.01809667774,NaN,0.02569986558,2,4.814767323,-1
164.3854229,62.47196374,6.236268497,35.40854853,79.30214136,0.04405769186,NaN,0.02573247754,2,5.069646821,-1
165.3854208,62.47196345,6.23626853,35.27429247,79.16788556,0.03052938761,NaN,0.02580094805,2,5.038433587,-1
166.3854185,62.47196323,6.236267278,35.13636941,79.02996266,0.01952073183,NaN,0.02587320347,2,4.845069101,-1
167.3854165,62.47196285,6.236266152,35.02033733,78.9139309,0.02448380657,NaN,0.02598199162,2,4.837677417,-1
168.3854136,62.47196216,6.236264648,34.94437987,78.83797401,0.01917216206,NaN,0.02609442055,2,5.174862197,-1
169.3854116,62.47196139,6.236263234,34.72733459,78.62092938,0.006891436342,NaN,0.02624048608,2,5.411030768,-1
171.3854069,62.47196042,6.236261303,34.65712176,78.55071736,0.008341080269,NaN,0.02638435081,2.000029274,5.403571842,-1
172.3854047,62.47195946,6.236259435,34.69642812,78.59002453,0.004527204627,NaN,0.02638938245,2,5.727512593,-1
173.3854018,62.47195941,6.23625941,34.73343596,78.62703241,0.008328950588,NaN,0.02639813248,2,5.704444601,-1
174.3853991,62.47195934,6.236259428,34.7792473,78.67284382,0.07292777906,NaN,0.02642070427,2,5.087891713,-1
175.3853965,62.47195945,6.236259059,34.7835765,78.67717291,0.0753531518,NaN,0.02642186955,2,5.472049949,-1
176.3853948,62.47195944,6.236259068,34.97145334,78.86504976,0.02794489561,NaN,0.02643728391,2.000029361,5.25708518,-1
177.3853918,62.47195932,6.236258903,35.01710539,78.9107019,0.03356039951,NaN,0.02644925864,2,5.274844537,-1
178.385389,62.4719594,6.236259067,35.0072085,78.90080496,0.04776013685,NaN,0.02648661305,2,5.241988491,-1
179.3853867,62.47195962,6.236259609,34.90693868,78.80053495,0.02235965684,NaN,0.02650859334,2,5.05956694,-1
180.385384,62.47195982,6.236259623,34.88720994,78.78080603,0.01686241093,NaN,0.02653641222,2.000029305,5.504329395,-1
181.3853812,62.47195995,6.236260089,35.0260332,78.9196292,0.01328341639,NaN,0.02657566649,2.000058673,5.21223349,-1
182.3853786,62.47195967,6.236259608,35.0446018,78.93819803,0.01482426328,NaN,0.02659939839,2,5.246184791,-1
183.3853754,62.4719595,6.236259322,34.97500674,78.86860311,0.01295547999,NaN,0.02661034772,2,5.179605762,-1
184.3853722,62.4719595,6.236259534,34.81321219,78.70680856,0.046873734,NaN,0.02662532109,2.000029348,4.910317884,-1
185.3853695,62.47195963,6.236259439,34.77623365,78.66982991,0.02299445411,NaN,0.02667647447,2,4.805372151,-1
186.3853672,62.47195942,6.236258551,34.83691967,78.7305161,0.01136256281,NaN,0.02668556395,2,5.092180179,-1
187.3853644,62.47195949,6.236258482,34.8740697,78.76766605,0.03078624776,NaN,0.02673805496,2.000029313,4.824104516,-1
